x,y,theta,vy,theta_dot,input,cost,x,.state.y
-379.529,-200.479,4.45431,0.193183,-1.86043,0.194286,44.2286,-382.478,-195.483
-384.924,-204.887,4.54951,-0.0999133,0.397281,-0.194286,292.35,-379.529,-200.479
-381.804,-214.195,4.87214,-0.0323302,0.348963,0.0485714,251.913,-384.924,-204.887
-375.338,-221.056,5.34556,-0.0458093,0.783498,0,118.958,-381.804,-214.195
-372.431,-227.987,4.79528,0.115025,-0.955217,0.0971429,87.2611,-375.338,-221.056
-375.099,-236.597,4.70072,-0.0303277,0.00123673,-0.097143,135.245,-372.431,-227.987
-372.549,-246.131,4.93661,-0.0355339,0.326359,0,173.443,-375.099,-236.597
-371.733,-255.403,4.71516,0.044606,-0.428902,0.0485714,92.3662,-372.549,-246.131
-368.506,-261.576,5.50048,-0.12442,1.41118,-0.097143,104.809,-371.733,-255.403
-364.771,-266.222,4.59284,0.189362,-1.68312,0.194286,74.2953,-368.506,-261.576
-368.638,-271.875,4.82933,-0.108191,0.657581,-0.194286,87.0144,-364.771,-266.222
-366.861,-280.247,4.68155,0.0450143,-0.446171,0.0971429,214.792,-368.638,-271.875
-367.585,-289.82,4.75311,-0.0307899,0.177416,-0.0485716,58.4804,-366.861,-280.247
-363.169,-298.443,5.10506,-0.0400933,0.552057,0,107.485,-367.585,-289.82
-363.395,-305.498,4.36323,0.126915,-1.30549,0.0971429,15.7962,-363.169,-298.443
-364.461,-311.29,5.31838,-0.188766,1.7877,-0.194286,112.36,-363.395,-305.498
-362.905,-314.499,3.86265,0.273916,-2.72944,0.291429,126.359,-364.461,-311.29
-368.518,-313.666,4.08388,-0.157262,0.686108,-0.291429,60.9834,-362.905,-314.499
-373.359,-316.583,2.97129,0.16704,-2.23381,0.194286,41.7604,-368.518,-313.666
-374.743,-316.717,1.66888,-0.694504,8.25246,-0.922857,172.077,-373.359,-316.583
-377.849,-320.01,6.22517,-0.19239,7.29591,0.437143,186.891,-374.743,-316.717
-380.472,-325.021,1.94345,0.157549,4.04702,0.291429,82.7456,-377.849,-320.01
-388.323,-326.923,2.59954,0.185908,2.16328,0.0485714,51.4,-380.472,-325.021
-395.328,-330.176,3.24411,0.0747193,1.93679,-0.0485716,124.254,-388.323,-326.923
-403.645,-333.735,3.19576,0.136982,0.407522,0.0485714,12.6692,-395.328,-330.176
-407.219,-338.15,4.48595,-0.126282,2.65431,-0.145714,90.2207,-403.645,-333.735
-406.72,-343.518,3.72119,0.246178,-1.24876,0.242857,134.523,-407.219,-338.15
-411.859,-346.23,4.44898,-0.137659,1.71705,-0.242857,145.398,-406.72,-343.518
-412.874,-347.308,5.68529,0.662406,-8.29988,1.02,80.9895,-411.859,-346.23
-413.518,-352.033,1.88358,0.0876461,-6.10804,-0.485714,109.83,-412.874,-347.308
-413.777,-358.617,0.110051,-0.130018,-3.74947,-0.194286,113.161,-413.518,-352.033
-411.662,-366.7,5.71047,-0.160463,-2.08537,-0.0485716,32.5691,-413.777,-358.617
-406.553,-374.429,5.62307,-0.140296,-0.894357,0,128.56,-411.662,-366.7
-401.206,-381.989,5.43459,-0.050207,-0.836124,0.0485714,93.3163,-406.553,-374.429
-393.942,-385.569,5.99519,-0.133331,0.708306,-0.0485716,68.3028,-401.206,-381.989
-390.341,-389.377,4.71254,0.194294,-2.45998,0.194286,44.5507,-393.942,-385.569
-393.914,-394.371,5.07827,-0.171895,0.771368,-0.242857,69.6765,-390.341,-389.377
-400,-400,0,0,0,0,0,-393.914,-394.371
