x,y,theta,vy,theta_dot,input,cost,x,.y
223.742,-109.445,5.45303,-0.0607208,-0.711525,-0.0485716,142.573,219.898,-100.518
-161.384,103.23,4.11634,0.0537317,-0.0755665,0.145714,602.406,-160.442,111.162
-169.913,99.307,3.65156,0.064629,-0.670149,0,51.0979,-161.384,103.23
229.771,-117.342,5.46949,-0.0548592,-0.241204,0,335.586,223.742,-109.445
238.15,-122.331,5.74078,-0.058724,0.285319,0,113.459,229.771,-117.342
98.7832,-128.665,4.88233,0.0668728,-0.136395,0.145714,266.866,93.917,-122.456
-161.867,110.687,5.30059,0.638052,-8.35808,1.02,497.642,-160.442,111.162
261.8,245.742,0.253467,-0.0671589,0.551815,-0.145714,136.366,254.364,247.253
93.3033,-126.9,3.55529,0.241277,-2.41763,0.242857,277.599,93.917,-122.456
245.938,68.1272,0.548953,-0.237706,2.35129,-0.242857,78.7866,241.85,70.1748
88.2226,-126.82,4.21913,-0.200975,1.40919,-0.291429,556.203,93.3033,-126.9
-179.732,98.3506,3.42825,-0.00274783,-0.312974,-0.0485716,109.034,-169.913,99.307
-142.29,132.691,2.41155,0.173425,-2.06158,0.0971429,428.475,-136.632,130.704
85.3688,-131.302,3.24574,0.186369,-1.9958,0.242857,261.491,88.2226,-126.82
104.386,303.738,2.29913,-0.0280179,-0.185288,-0.097143,195.382,108.017,295.35
270.02,251.171,0.420891,0.00247832,0.191886,0.0485714,57.8907,261.8,245.742
-93.4653,152.478,1.79515,0.119508,-1.90714,0.0971429,126.278,-90.3609,146.786
-189.692,98.0289,3.24974,0.00392144,-0.36272,0,213.177,-179.732,98.3506
246.829,-120.341,0.0981738,-0.0752578,0.986432,0,94.3808,238.15,-122.331
-199.252,100.47,2.98777,0.012864,-0.496477,0,30.8571,-189.692,98.0289
252.911,-112.8,0.605618,-0.01688,0.822768,0.0485714,56.7454,246.829,-120.341
95.034,-112.882,6.05544,0.666969,-8.38523,0.874286,104.798,95.5434,-111.563
-205.045,97.6095,3.97566,-0.159965,1.66583,-0.097143,398.574,-199.252,100.47
